"","x","scenario","plan","title","state_count","lga_count","total_cost","currency","intervention_type"
"1",1,"scenario 1","Scenario 1","Capacity Building",NA,NA,17539672818,"Naira","Support Services"
"2",2,"scenario 1","Scenario 1","Capacity Building",NA,NA,10962296,"USD","Support Services"
"3",3,"scenario 1","Scenario 1","Private Sector CM",37,774,134060831766,"Naira","Malaria Interventions"
"4",4,"scenario 1","Scenario 1","Private Sector CM",37,774,83788020,"USD","Malaria Interventions"
"5",5,"scenario 1","Scenario 1","Public Sector CM",37,774,98280297811,"Naira","Malaria Interventions"
"6",6,"scenario 1","Scenario 1","Public Sector CM",37,774,61425186,"USD","Malaria Interventions"
"7",7,"scenario 1","Scenario 1","Entomological surveillance",26,NA,10018461547,"Naira","Support Services"
"8",8,"scenario 1","Scenario 1","Entomological surveillance",26,NA,6261538,"USD","Support Services"
"9",9,"scenario 1","Scenario 1","Governance & Coordination",NA,NA,7524109700,"Naira","Support Services"
"10",10,"scenario 1","Scenario 1","Governance & Coordination",NA,NA,4702569,"USD","Support Services"
"11",11,"scenario 1","Scenario 1","IPTp",37,774,15561636496,"Naira","Malaria Interventions"
"12",12,"scenario 1","Scenario 1","IPTp",37,774,9726023,"USD","Malaria Interventions"
"13",13,"scenario 1","Scenario 1","IRS",37,774,365163014983,"Naira","Malaria Interventions"
"14",14,"scenario 1","Scenario 1","IRS",37,774,228226884,"USD","Malaria Interventions"
"15",15,"scenario 1","Scenario 1","ITN Campaign",17,363,522412714818,"Naira","Malaria Interventions"
"16",16,"scenario 1","Scenario 1","ITN Campaign",17,363,326507947,"USD","Malaria Interventions"
"17",17,"scenario 1","Scenario 1","ITN Routine Distribution",37,774,126610256254,"Naira","Malaria Interventions"
"18",18,"scenario 1","Scenario 1","ITN Routine Distribution",37,774,79131410,"USD","Malaria Interventions"
"19",19,"scenario 1","Scenario 1","LSM",37,774,254141096880,"Naira","Malaria Interventions"
"20",20,"scenario 1","Scenario 1","LSM",37,774,158838186,"USD","Malaria Interventions"
"21",21,"scenario 1","Scenario 1","Monitoring & Evaluation",NA,NA,9118142934,"Naira","Support Services"
"22",22,"scenario 1","Scenario 1","Monitoring & Evaluation",NA,NA,5698839,"USD","Support Services"
"23",23,"scenario 1","Scenario 1","PMC",21,384,50884742704,"Naira","Malaria Interventions"
"24",24,"scenario 1","Scenario 1","PMC",21,384,31802964,"USD","Malaria Interventions"
"25",25,"scenario 1","Scenario 1","Resource Mobilisation",NA,NA,105450000,"Naira","Support Services"
"26",26,"scenario 1","Scenario 1","Resource Mobilisation",NA,NA,65906,"USD","Support Services"
"27",27,"scenario 1","Scenario 1","SMC",21,385,102440838936,"Naira","Malaria Interventions"
"28",28,"scenario 1","Scenario 1","SMC",21,385,64025524,"USD","Malaria Interventions"
"29",29,"scenario 1","Scenario 1","Social Behaviour Change",NA,NA,14927760000,"Naira","Support Services"
"30",30,"scenario 1","Scenario 1","Social Behaviour Change",NA,NA,9329850,"USD","Support Services"
"31",31,"scenario 1","Scenario 1","Malaria Vaccine",37,774,203307696825,"Naira","Malaria Interventions"
"32",32,"scenario 1","Scenario 1","Malaria Vaccine",37,774,127067311,"USD","Malaria Interventions"
"33",33,"scenario 1","Scenario 1","Global Fund Warehousing & Distribution Activities",NA,NA,4086518400,"Naira","Support Services"
"34",34,"scenario 1","Scenario 1","Global Fund Warehousing & Distribution Activities",NA,NA,2554074,"USD","Support Services"
